期号,num1,num2,num3,和值,跨度,类型
2005094,1,1,2,4,1,组三
2005095,0,6,1,7,6,组六
2005096,9,3,5,17,6,组六
2005097,0,8,5,13,8,组六
2005098,6,7,0,13,7,组六
2005099,6,9,5,20,4,组六
2005100,1,2,7,10,6,组六
2005101,3,2,0,5,3,组六
2005102,4,3,1,8,3,组六
2005103,8,7,3,18,5,组六
2005104,6,8,1,15,7,组六
2005105,3,6,3,12,3,组三
2005106,5,4,0,9,5,组六
2005107,8,3,8,19,5,组三
2005108,3,8,4,15,5,组六
2005109,6,1,0,7,6,组六
2005110,4,1,7,12,6,组六
2005111,0,6,1,7,6,组六
2005112,2,9,8,19,7,组六
2005113,0,0,5,5,5,组三
2005114,8,9,2,19,7,组六
2005115,6,2,6,14,4,组三
2005116,5,6,9,20,4,组六
2005117,9,9,2,20,7,组三
2005118,5,9,3,17,6,组六
2005119,1,1,1,3,0,豹子
2005120,1,6,2,9,5,组六
2005121,7,2,9,18,7,组六
2005122,5,4,2,11,3,组六
2005123,9,7,4,20,5,组六
2005124,2,1,9,12,8,组六
2005125,5,0,8,13,8,组六
2005126,5,3,4,12,2,组六
2005127,4,4,5,13,1,组三
2005128,1,6,2,9,5,组六
2005129,7,0,7,14,7,组三
2005130,5,4,6,15,2,组六
2005131,6,6,3,15,3,组三
2005132,8,3,6,17,5,组六
2005133,7,5,9,21,4,组六
2005134,7,0,4,11,7,组六
2005135,7,4,5,16,3,组六
2005136,9,2,8,19,7,组六
2005137,2,5,3,10,3,组六
2005138,0,1,4,5,4,组六
2005139,4,6,2,12,4,组六
2005140,8,9,4,21,5,组六
2005141,1,6,8,15,7,组六
2005142,3,0,6,9,6,组六
2005143,2,0,7,9,7,组六
2005144,5,7,4,16,3,组六
2005145,0,5,7,12,7,组六
2005146,1,0,9,10,9,组六
2005147,1,2,1,4,1,组三
2005148,9,7,9,25,2,组三
2005149,8,9,9,26,1,组三
2005150,5,2,4,11,3,组六
2005151,9,9,0,18,9,组三
2005152,9,2,7,18,7,组六
2005153,8,6,6,20,2,组三
2005154,7,7,6,20,1,组三
2005155,0,2,4,6,4,组六
2005156,1,1,9,11,8,组三
2005157,5,9,8,22,4,组六
2005158,8,7,6,21,2,组六
2005159,1,0,7,8,7,组六
2005160,7,2,6,15,5,组六
2005161,2,2,1,5,1,组三
2005162,9,6,7,22,3,组六
2005163,6,4,5,15,2,组六
2005164,0,0,1,1,1,组三
2005165,3,9,8,20,6,组六
2005166,7,3,6,16,4,组六
2005167,7,1,1,9,6,组三
2005168,9,0,7,16,9,组六
2005169,2,6,3,11,4,组六
2005170,1,9,5,15,8,组六
2005171,1,6,5,12,5,组六
2005172,9,9,7,25,2,组三
2005173,2,0,7,9,7,组六
2005174,8,7,6,21,2,组六
2005175,9,3,3,15,6,组三
2005176,9,3,7,19,6,组六
2005177,7,0,5,12,7,组六
2005178,0,0,4,4,4,组三
2005179,0,4,3,7,4,组六
2005180,3,9,5,17,6,组六
2005181,4,0,2,6,4,组六
2005182,4,6,9,19,5,组六
2005183,1,7,3,11,6,组六
2005184,8,8,4,20,4,组三
2005185,4,3,9,16,6,组六
2005186,2,0,2,4,2,组三
2005187,9,1,3,13,8,组六
2005188,6,2,9,17,7,组六
2005189,4,0,3,7,4,组六
2005190,4,2,6,12,4,组六
2005191,5,0,6,11,6,组六
2005192,6,2,4,12,4,组六
2005193,9,9,9,27,0,豹子
2005194,4,9,4,17,5,组三
2005195,5,2,6,13,4,组六
2005196,0,0,5,5,5,组三
2005197,7,8,8,23,1,组三
2005198,7,4,9,20,5,组六
2005199,7,9,4,20,5,组六
2005200,9,9,8,26,1,组三
2005201,0,4,5,9,5,组六
2005202,3,3,0,6,3,组三
2005203,8,1,9,18,8,组六
2005204,5,0,6,11,6,组六
2005205,8,7,5,20,3,组六
2005206,9,5,8,22,4,组六
2005207,8,6,7,21,2,组六
2005208,5,4,0,9,5,组六
2005209,3,1,6,10,5,组六
2005210,5,4,3,12,2,组六
2005211,5,3,4,12,2,组六
2005212,7,8,0,15,8,组六
2005213,9,6,2,17,7,组六
2005214,1,6,9,16,8,组六
2005215,2,3,6,11,4,组六
2005216,8,5,6,19,3,组六
2005217,5,5,5,15,0,豹子
2005218,7,2,4,13,5,组六
2005219,2,1,6,9,5,组六
2005220,8,0,2,10,8,组六
2005221,8,7,0,15,8,组六
2005222,8,9,5,22,4,组六
2005223,5,3,9,17,6,组六
2005224,5,6,7,18,2,组六
2005225,3,0,9,12,9,组六
2005226,2,9,3,14,7,组六
2005227,2,6,4,12,4,组六
2005228,7,2,5,14,5,组六
2005229,8,1,3,12,7,组六
2005230,7,8,4,19,4,组六
2005231,0,7,7,14,7,组三
2005232,7,4,9,20,5,组六
2005233,9,3,4,16,6,组六
2005234,1,2,2,5,1,组三
2005235,8,5,6,19,3,组六
2005236,5,3,7,15,4,组六
2005237,6,0,0,6,6,组三
2005238,4,6,3,13,3,组六
2005239,3,4,6,13,3,组六
2005240,5,1,7,13,6,组六
2005241,8,3,2,13,6,组六
2005242,2,8,9,19,7,组六
2005243,9,4,9,22,5,组三
2005244,8,9,4,21,5,组六
2005245,8,2,7,17,6,组六
2005246,5,9,7,21,4,组六
2005247,3,1,0,4,3,组六
2005248,4,8,1,13,7,组六
2005249,5,2,1,8,4,组六
2005250,0,3,7,10,7,组六
2005251,8,1,8,17,7,组三
2005252,0,8,5,13,8,组六
2005253,4,4,2,10,2,组三
2005254,3,0,2,5,3,组六
2005255,9,5,9,23,4,组三
2005256,5,3,9,17,6,组六
2005257,0,2,6,8,6,组六
2005258,9,7,6,22,3,组六
2005259,9,7,1,17,8,组六
2005260,4,8,9,21,5,组六
2005261,6,1,4,11,5,组六
2005262,2,4,0,6,4,组六
2005263,8,4,6,18,4,组六
2005264,8,0,7,15,8,组六
2005265,6,9,6,21,3,组三
2005266,1,0,7,8,7,组六
2005267,5,8,4,17,4,组六
2005268,8,5,5,18,3,组三
2005269,3,2,7,12,5,组六
2005270,9,0,9,18,9,组三
2005271,5,6,6,17,1,组三
2005272,9,8,1,18,8,组六
2005273,7,2,6,15,5,组六
2005274,5,2,6,13,4,组六
2005275,4,7,0,11,7,组六
2005276,8,6,2,16,6,组六
2005277,0,7,5,12,7,组六
2005278,6,9,2,17,7,组六
2005279,2,5,4,11,3,组六
2005280,8,9,9,26,1,组三
2005281,5,7,6,18,2,组六
2005282,5,4,9,18,5,组六
2005283,1,8,4,13,7,组六
2005284,3,8,0,11,8,组六
2005285,6,5,4,15,2,组六
2005286,8,5,3,16,5,组六
2005287,7,8,7,22,1,组三
2005288,4,8,7,19,4,组六
2005289,3,0,4,7,4,组六
2005290,8,0,3,11,8,组六
2005291,3,7,1,11,6,组六
2005292,4,3,6,13,3,组六
2005293,0,4,0,4,4,组三
2005294,8,2,0,10,8,组六
2005295,8,9,3,20,6,组六
2005296,7,1,6,14,6,组六
2005297,3,1,9,13,8,组六
2005298,6,0,8,14,8,组六
2005299,7,5,6,18,2,组六
2005300,9,6,6,21,3,组三
2005301,6,3,5,14,3,组六
2005302,7,4,7,18,3,组三
2005303,5,7,6,18,2,组六
2005304,8,6,3,17,5,组六
2005305,5,7,8,20,3,组六
2005306,3,9,0,12,9,组六
2005307,9,6,8,23,3,组六
2005308,1,2,9,12,8,组六
2005309,5,2,4,11,3,组六
2005310,0,1,5,6,5,组六
2005311,4,5,0,9,5,组六
2005312,7,5,6,18,2,组六
2005313,7,2,8,17,6,组六
2005314,8,6,0,14,8,组六
2005315,6,7,0,13,7,组六
2005316,7,4,1,12,6,组六
2005317,8,4,6,18,4,组六
2005318,0,6,9,15,9,组六
2005319,8,2,4,14,6,组六
2005320,0,8,4,12,8,组六
2005321,8,0,5,13,8,组六
2005322,2,7,4,13,5,组六
2005323,3,3,9,15,6,组三
2005324,5,7,8,20,3,组六
2005325,4,7,2,13,5,组六
2005326,5,0,8,13,8,组六
2005327,7,3,5,15,4,组六
2005328,4,6,3,13,3,组六
2005329,1,1,7,9,6,组三
2005330,1,4,9,14,8,组六
2005331,7,9,0,16,9,组六
2005332,1,8,7,16,7,组六
2005333,3,4,1,8,3,组六
2005334,6,7,2,15,5,组六
2005335,7,8,1,16,7,组六
2005336,6,9,3,18,6,组六
2005337,4,6,1,11,5,组六
2005338,2,3,6,11,4,组六
2005339,4,4,0,8,4,组三
2005340,6,7,8,21,2,组六
2005341,3,0,2,5,3,组六
2005342,3,8,5,16,5,组六
2005343,8,7,6,21,2,组六
2005344,9,4,9,22,5,组三
2005345,7,8,6,21,2,组六
2005346,2,9,2,13,7,组三
2005347,1,7,2,10,6,组六
2005348,3,2,3,8,1,组三
2005349,4,9,2,15,7,组六
2005350,2,3,7,12,5,组六
2005351,2,3,9,14,7,组六
2005352,5,6,2,13,4,组六
2005353,0,9,5,14,9,组六
2005354,0,1,4,5,4,组六
2005355,0,1,2,3,2,组六
2005356,4,3,9,16,6,组六
2005357,4,1,5,10,4,组六
2005358,3,9,7,19,6,组六
2006001,1,8,4,13,7,组六
2006002,2,9,9,20,7,组三
2006003,0,1,2,3,2,组六
2006004,9,4,0,13,9,组六
2006005,1,8,5,14,7,组六
2006006,5,9,8,22,4,组六
2006007,5,6,1,12,5,组六
2006008,4,8,9,21,5,组六
2006009,8,0,3,11,8,组六
2006010,5,3,8,16,5,组六
2006011,7,5,5,17,2,组三
2006012,6,5,2,13,4,组六
2006013,7,7,7,21,0,豹子
2006014,6,7,8,21,2,组六
2006015,4,4,6,14,2,组三
2006016,5,1,9,15,8,组六
2006017,9,2,5,16,7,组六
2006018,9,1,6,16,8,组六
2006019,1,9,9,19,8,组三
2006020,7,1,0,8,7,组六
2006021,4,3,8,15,5,组六
2006022,1,6,4,11,5,组六
2006023,2,1,5,8,4,组六
2006024,1,6,3,10,5,组六
2006025,7,0,7,14,7,组三
2006026,9,9,8,26,1,组三
2006027,4,0,4,8,4,组三
2006028,5,4,7,16,3,组六
2006029,7,0,6,13,7,组六
2006030,0,8,6,14,8,组六
2006031,6,7,5,18,2,组六
2006032,6,9,9,24,3,组三
2006033,5,4,9,18,5,组六
2006034,4,6,5,15,2,组六
2006035,6,4,7,17,3,组六
2006036,1,5,4,10,4,组六
2006037,2,3,6,11,4,组六
2006038,3,7,4,14,4,组六
2006039,5,8,7,20,3,组六
2006040,8,7,6,21,2,组六
2006041,8,5,3,16,5,组六
2006042,0,2,8,10,8,组六
2006043,4,4,5,13,1,组三
2006044,0,2,6,8,6,组六
2006045,1,8,7,16,7,组六
2006046,5,6,8,19,3,组六
2006047,6,9,4,19,5,组六
2006048,5,6,4,15,2,组六
2006049,4,8,9,21,5,组六
2006050,8,7,4,19,4,组六
2006051,8,7,3,18,5,组六
2006052,5,0,1,6,5,组六
2006053,6,9,8,23,3,组六
2006054,9,0,9,18,9,组三
2006055,1,4,0,5,4,组六
2006056,8,9,8,25,1,组三
2006057,7,9,1,17,8,组六
2006058,6,0,0,6,6,组三
2006059,9,9,0,18,9,组三
2006060,0,6,2,8,6,组六
2006061,2,2,4,8,2,组三
2006062,7,6,1,14,6,组六
2006063,4,5,8,17,4,组六
2006064,9,8,3,20,6,组六
2006065,9,2,1,12,8,组六
2006066,9,6,7,22,3,组六
2006067,1,4,9,14,8,组六
2006068,0,0,3,3,3,组三
2006069,0,8,2,10,8,组六
2006070,4,1,5,10,4,组六
2006071,2,0,2,4,2,组三
2006072,4,2,0,6,4,组六
2006073,2,0,3,5,3,组六
2006074,2,9,2,13,7,组三
2006075,8,4,4,16,4,组三
2006076,2,2,4,8,2,组三
2006077,2,0,1,3,2,组六
2006078,2,8,6,16,6,组六
2006079,7,1,4,12,6,组六
2006080,5,4,4,13,1,组三
2006081,4,3,4,11,1,组三
2006082,6,7,1,14,6,组六
2006083,9,7,2,18,7,组六
2006084,2,7,6,15,5,组六
2006085,4,9,5,18,5,组六
2006086,1,6,2,9,5,组六
2006087,9,4,7,20,5,组六
2006088,6,4,2,12,4,组六
2006089,4,9,2,15,7,组六
2006090,8,7,7,22,1,组三
2006091,5,3,3,11,2,组三
2006092,4,4,4,12,0,豹子
2006093,8,2,4,14,6,组六
2006094,0,1,0,1,1,组三
2006095,3,0,4,7,4,组六
2006096,2,7,5,14,5,组六
2006097,9,3,8,20,6,组六
2006098,6,6,0,12,6,组三
2006099,8,2,6,16,6,组六
2006100,4,5,1,10,4,组六
2006101,4,3,0,7,4,组六
2006102,2,6,0,8,6,组六
2006103,2,2,3,7,1,组三
2006104,6,1,6,13,5,组三
2006105,5,1,9,15,8,组六
2006106,5,3,3,11,2,组三
2006107,1,9,0,10,9,组六
2006108,6,9,6,21,3,组三
2006109,3,0,8,11,8,组六
2006110,4,3,7,14,4,组六
2006111,2,1,8,11,7,组六
2006112,4,9,9,22,5,组三
2006113,6,0,1,7,6,组六
2006114,9,9,7,25,2,组三
2006115,2,5,9,16,7,组六
2006116,3,3,2,8,1,组三
2006117,9,9,9,27,0,豹子
2006118,8,9,0,17,9,组六
2006119,9,0,0,9,9,组三
2006120,3,3,2,8,1,组三
2006121,5,7,5,17,2,组三
2006122,5,2,0,7,5,组六
2006123,2,4,9,15,7,组六
2006124,2,6,1,9,5,组六
2006125,3,1,5,9,4,组六
2006126,2,3,8,13,6,组六
2006127,1,0,3,4,3,组六
2006128,6,4,0,10,6,组六
2006129,9,2,9,20,7,组三
2006130,8,0,8,16,8,组三
2006131,1,6,5,12,5,组六
2006132,0,9,3,12,9,组六
2006133,9,8,9,26,1,组三
2006134,0,7,3,10,7,组六
2006135,7,4,5,16,3,组六
2006136,3,9,1,13,8,组六
2006137,7,3,3,13,4,组三
2006138,0,8,7,15,8,组六
2006139,1,7,2,10,6,组六
2006140,8,3,0,11,8,组六
2006141,9,7,4,20,5,组六
2006142,2,6,6,14,4,组三
2006143,1,0,4,5,4,组六
2006144,1,5,1,7,4,组三
2006145,5,8,8,21,3,组三
2006146,8,3,4,15,5,组六
2006147,7,3,3,13,4,组三
2006148,7,6,0,13,7,组六
2006149,0,1,9,10,9,组六
2006150,0,4,9,13,9,组六
2006151,1,8,1,10,7,组三
2006152,8,1,4,13,7,组六
2006153,9,5,0,14,9,组六
2006154,9,4,8,21,5,组六
2006155,7,5,9,21,4,组六
2006156,6,7,8,21,2,组六
2006157,0,3,8,11,8,组六
2006158,6,2,3,11,4,组六
2006159,5,3,9,17,6,组六
2006160,9,8,6,23,3,组六
2006161,9,7,6,22,3,组六
2006162,2,4,2,8,2,组三
2006163,9,9,4,22,5,组三
2006164,5,3,4,12,2,组六
2006165,3,9,7,19,6,组六
2006166,3,7,3,13,4,组三
2006167,9,6,4,19,5,组六
2006168,2,1,1,4,1,组三
2006169,7,9,4,20,5,组六
2006170,3,0,5,8,5,组六
2006171,2,4,6,12,4,组六
2006172,6,8,7,21,2,组六
2006173,0,1,9,10,9,组六
2006174,4,5,4,13,1,组三
2006175,0,0,1,1,1,组三
2006176,7,7,2,16,5,组三
2006177,9,4,5,18,5,组六
2006178,4,6,5,15,2,组六
2006179,4,9,9,22,5,组三
2006180,5,9,3,17,6,组六
2006181,9,5,9,23,4,组三
2006182,2,1,7,10,6,组六
2006183,4,6,5,15,2,组六
2006184,3,4,0,7,4,组六
2006185,7,0,0,7,7,组三
2006186,4,6,9,19,5,组六
2006187,7,1,3,11,6,组六
2006188,9,9,5,23,4,组三
2006189,3,3,4,10,1,组三
2006190,4,1,9,14,8,组六
2006191,2,9,3,14,7,组六
2006192,3,0,0,3,3,组三
2006193,7,4,8,19,4,组六
2006194,1,1,6,8,5,组三
2006195,9,1,8,18,8,组六
2006196,8,4,8,20,4,组三
2006197,9,4,9,22,5,组三
2006198,1,6,5,12,5,组六
2006199,0,2,9,11,9,组六
2006200,9,2,8,19,7,组六
2006201,7,2,4,13,5,组六
2006202,8,9,1,18,8,组六
2006203,4,5,1,10,4,组六
2006204,8,7,2,17,6,组六
2006205,4,8,1,13,7,组六
2006206,4,7,1,12,6,组六
2006207,9,3,7,19,6,组六
2006208,3,6,8,17,5,组六
2006209,5,6,2,13,4,组六
2006210,2,5,7,14,5,组六
2006211,5,5,2,12,3,组三
2006212,9,3,4,16,6,组六
2006213,4,2,1,7,3,组六
2006214,3,4,0,7,4,组六
2006215,5,2,7,14,5,组六
2006216,8,3,6,17,5,组六
2006217,3,5,3,11,2,组三
2006218,7,2,1,10,6,组六
2006219,5,5,4,14,1,组三
2006220,5,4,6,15,2,组六
2006221,7,5,1,13,6,组六
2006222,2,5,5,12,3,组三
2006223,7,6,0,13,7,组六
2006224,7,0,8,15,8,组六
2006225,8,9,3,20,6,组六
2006226,6,0,8,14,8,组六
2006227,6,3,3,12,3,组三
2006228,6,1,2,9,5,组六
2006229,2,6,6,14,4,组三
2006230,2,6,7,15,5,组六
2006231,0,6,8,14,8,组六
2006232,1,6,2,9,5,组六
2006233,7,1,4,12,6,组六
2006234,4,5,7,16,3,组六
2006235,7,3,2,12,5,组六
2006236,1,6,9,16,8,组六
2006237,7,9,3,19,6,组六
2006238,1,6,6,13,5,组三
2006239,5,3,6,14,3,组六
2006240,2,2,8,12,6,组三
2006241,4,3,2,9,2,组六
2006242,7,8,9,24,2,组六
2006243,4,9,8,21,5,组六
2006244,2,2,2,6,0,豹子
2006245,0,8,0,8,8,组三
2006246,9,8,9,26,1,组三
2006247,5,2,8,15,6,组六
2006248,8,9,5,22,4,组六
2006249,1,6,6,13,5,组三
2006250,9,5,9,23,4,组三
2006251,6,5,6,17,1,组三
2006252,1,1,5,7,4,组三
2006253,9,7,8,24,2,组六
2006254,2,9,3,14,7,组六
2006255,4,7,9,20,5,组六
2006256,9,9,8,26,1,组三
2006257,5,0,8,13,8,组六
2006258,8,6,0,14,8,组六
2006259,6,2,8,16,6,组六
2006260,6,5,9,20,4,组六
2006261,7,3,5,15,4,组六
2006262,9,1,7,17,8,组六
2006263,8,8,6,22,2,组三
2006264,6,5,6,17,1,组三
2006265,2,2,8,12,6,组三
2006266,2,7,2,11,5,组三
2006267,2,6,5,13,4,组六
2006268,6,3,8,17,5,组六
2006269,0,1,0,1,1,组三
2006270,3,1,7,11,6,组六
2006271,9,4,4,17,5,组三
2006272,5,1,7,13,6,组六
2006273,3,7,3,13,4,组三
2006274,9,0,8,17,9,组六
2006275,7,7,2,16,5,组三
2006276,1,1,0,2,1,组三
2006277,9,0,7,16,9,组六
2006278,2,1,6,9,5,组六
2006279,9,5,1,15,8,组六
2006280,8,0,8,16,8,组三
2006281,2,6,3,11,4,组六
2006282,4,3,3,10,1,组三
2006283,0,2,3,5,3,组六
2006284,2,7,9,18,7,组六
2006285,8,5,7,20,3,组六
2006286,5,6,4,15,2,组六
2006287,4,4,7,15,3,组三
2006288,1,4,5,10,4,组六
2006289,7,8,1,16,7,组六
2006290,2,0,8,10,8,组六
2006291,4,3,9,16,6,组六
2006292,3,3,8,14,5,组三
2006293,0,6,0,6,6,组三
2006294,4,3,7,14,4,组六
2006295,3,3,1,7,2,组三
2006296,6,0,9,15,9,组六
2006297,6,0,0,6,6,组三
2006298,9,7,2,18,7,组六
2006299,9,5,6,20,4,组六
2006300,2,1,4,7,3,组六
2006301,1,9,9,19,8,组三
2006302,6,3,5,14,3,组六
2006303,7,7,2,16,5,组三
2006304,9,9,1,19,8,组三
2006305,2,5,9,16,7,组六
2006306,6,6,1,13,5,组三
2006307,2,7,8,17,6,组六
2006308,8,7,1,16,7,组六
2006309,8,3,4,15,5,组六
2006310,9,9,9,27,0,豹子
2006311,3,0,5,8,5,组六
2006312,3,1,0,4,3,组六
2006313,8,3,0,11,8,组六
2006314,7,2,4,13,5,组六
2006315,0,4,1,5,4,组六
2006316,1,3,3,7,2,组三
2006317,8,4,5,17,4,组六
2006318,6,1,9,16,8,组六
2006319,6,5,5,16,1,组三
2006320,3,4,9,16,6,组六
2006321,4,6,8,18,4,组六
2006322,6,6,4,16,2,组三
2006323,7,3,6,16,4,组六
2006324,8,1,5,14,7,组六
2006325,1,4,3,8,3,组六
2006326,9,7,7,23,2,组三
2006327,3,7,5,15,4,组六
2006328,1,6,9,16,8,组六
2006329,8,9,6,23,3,组六
2006330,7,7,4,18,3,组三
2006331,0,9,0,9,9,组三
2006332,0,2,0,2,2,组三
2006333,7,6,7,20,1,组三
2006334,8,9,3,20,6,组六
2006335,6,5,9,20,4,组六
2006336,4,5,6,15,2,组六
2006337,1,2,6,9,5,组六
2006338,9,4,0,13,9,组六
2006339,0,6,3,9,6,组六
2006340,5,3,1,9,4,组六
2006341,6,6,4,16,2,组三
2006342,7,4,6,17,3,组六
2006343,1,8,3,12,7,组六
2006344,7,1,2,10,6,组六
2006345,0,3,0,3,3,组三
2006346,5,6,6,17,1,组三
2006347,1,8,4,13,7,组六
2006348,1,1,4,6,3,组三
2006349,7,3,5,15,4,组六
2006350,6,9,8,23,3,组六
2006351,1,1,7,9,6,组三
2006352,6,9,1,16,8,组六
2006353,5,1,3,9,4,组六
2006354,3,3,4,10,1,组三
2006355,9,1,4,14,8,组六
2006356,6,7,8,21,2,组六
2006357,5,8,4,17,4,组六
2007001,0,3,8,11,8,组六
2007002,0,6,0,6,6,组三
2007003,8,3,9,20,6,组六
2007004,1,6,3,10,5,组六
2007005,0,9,1,10,9,组六
2007006,8,3,5,16,5,组六
2007007,5,4,1,10,4,组六
2007008,4,1,6,11,5,组六
2007009,2,9,2,13,7,组三
2007010,4,5,3,12,2,组六
2007011,2,6,1,9,5,组六
2007012,4,0,5,9,5,组六
2007013,2,5,2,9,3,组三
2007014,0,4,7,11,7,组六
2007015,9,7,7,23,2,组三
2007016,8,7,8,23,1,组三
2007017,4,8,5,17,4,组六
2007018,2,0,4,6,4,组六
2007019,2,1,9,12,8,组六
2007020,1,5,1,7,4,组三
2007021,7,5,7,19,2,组三
2007022,8,9,6,23,3,组六
2007023,7,1,6,14,6,组六
2007024,9,5,5,19,4,组三
2007025,3,1,9,13,8,组六
2007026,2,6,0,8,6,组六
2007027,3,4,9,16,6,组六
2007028,1,1,9,11,8,组三
2007029,3,9,9,21,6,组三
2007030,2,8,1,11,7,组六
2007031,7,0,4,11,7,组六
2007032,9,6,1,16,8,组六
2007033,8,7,5,20,3,组六
2007034,4,9,4,17,5,组三
2007035,7,6,4,17,3,组六
2007036,0,3,2,5,3,组六
2007037,5,0,7,12,7,组六
2007038,2,0,3,5,3,组六
2007039,0,2,5,7,5,组六
2007040,9,4,8,21,5,组六
2007041,3,3,5,11,2,组三
2007042,1,9,9,19,8,组三
2007043,9,4,7,20,5,组六
2007044,9,8,8,25,1,组三
2007045,0,0,0,0,0,豹子
2007046,5,6,4,15,2,组六
2007047,3,7,7,17,4,组三
2007048,5,7,2,14,5,组六
2007049,7,6,0,13,7,组六
2007050,1,6,3,10,5,组六
2007051,2,6,5,13,4,组六
2007052,7,3,3,13,4,组三
2007053,8,0,2,10,8,组六
2007054,8,4,7,19,4,组六
2007055,0,1,7,8,7,组六
2007056,2,7,8,17,6,组六
2007057,9,5,5,19,4,组三
2007058,8,8,7,23,1,组三
2007059,5,2,8,15,6,组六
2007060,3,6,8,17,5,组六
2007061,7,8,7,22,1,组三
